Order_ID,Order_Date,Year,Month_No,Month,Ship_Date,Delivery_Days,Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Sales_Category,Profit,Profit_Margin,Ship_Mode,Payment_Mode,Rating,Returned
ORD00107,2026-01-29,2026,1,Jan,2026-02-02,4,CUST7560,Madhup Sharma,Male,43,Senior,Pune,Maharashtra,West,Clothing,Jeans,6,1800,5,10260,High,4342.72,0.423267056530214,Standard,UPI,1,No
ORD00133,2026-01-21,2026,1,Jan,2026-01-23,2,CUST1510,Aaina Ramanathan,Male,56,Senior,Bhubaneswar,Odisha,East,Groceries,Rice Bag,3,1200,0,3600,Low,1322.65,0.367402777777778,Same Day,Card,3,No
ORD00155,2025-01-20,2025,1,Jan,2025-01-22,2,CUST7723,Shayak Walia,Female,65,Senior,Patna,Bihar,East,Electronics,Smartphone,4,25000,20,80000,High,26898.61,0.336232625,Express,Card,4,No
ORD00187,2025-01-22,2025,1,Jan,2025-01-24,2,CUST9285,Oorja Agrawal,Female,41,Senior,Hyderabad,Telangana,South,Sports,Dumbbells,8,4000,25,24000,High,6702.02,0.279250833333333,Express,Card,1,No
ORD00192,2025-01-27,2025,1,Jan,2025-02-01,5,CUST1539,Jhanvi Sandal,Male,38,Senior,Hyderabad,Telangana,South,Furniture,Bed Frame,3,25000,25,56250,High,9150.98,0.162684088888889,Same Day,Card,1,No
ORD00194,2026-01-27,2026,1,Jan,2026-02-03,7,CUST7499,Saanvi Kadakia,Female,19,Teen,Bhubaneswar,Odisha,East,Clothing,Sneakers,8,4500,5,34200,High,11130.94,0.325466081871345,Same Day,Cash,4,No
ORD00208,2025-01-23,2025,1,Jan,2025-01-24,1,CUST5919,Ela Master,Male,63,Senior,Bengaluru,Karnataka,South,Electronics,Headphones,2,2000,25,3000,Low,509.95,0.169983333333333,Same Day,Card,2,No
ORD00217,2025-01-09,2025,1,Jan,2025-01-11,2,CUST7965,Zoya D’Alia,Male,65,Senior,Bhubaneswar,Odisha,East,Furniture,Sofa,1,30000,15,25500,High,9129.37,0.358014509803922,Standard,Card,1,No
ORD00228,2026-01-25,2026,1,Jan,2026-01-30,5,CUST3688,Biju Chaudhuri,Female,40,Senior,Patna,Bihar,East,Furniture,Dining Table,7,15000,20,84000,High,17614.95,0.209701785714286,Standard,Card,2,Yes
ORD00236,2025-01-25,2025,1,Jan,2025-01-30,5,CUST5247,Ishita Reddy,Male,41,Senior,Chennai,Tamil Nadu,South,Clothing,T-Shirt,1,800,10,720,Low,120.61,0.167513888888889,Express,Cash,3,No
ORD00240,2025-01-21,2025,1,Jan,2025-01-22,1,CUST3938,Renee Dani,Male,51,Senior,Hyderabad,Telangana,South,Groceries,Rice Bag,8,1200,10,8640,Low,1548.85,0.179265046296296,Same Day,UPI,3,No
ORD00242,2025-01-14,2025,1,Jan,2025-01-19,5,CUST5016,Kaira Borde,Male,18,Teen,Delhi,Delhi,North,Electronics,Smartphone,6,25000,25,112500,High,17566.77,0.156149066666667,Standard,Cash,1,No
ORD00253,2026-01-08,2026,1,Jan,2026-01-10,2,CUST9907,Zara Venkatesh,Male,42,Senior,Patna,Bihar,East,Clothing,Sneakers,8,4500,10,32400,High,4230.24,0.130562962962963,Express,Card,5,No
ORD00254,2026-01-20,2026,1,Jan,2026-01-21,1,CUST6224,Amani Keer,Male,19,Teen,Pune,Maharashtra,West,Electronics,Smart TV,6,40000,20,192000,High,19226.49,0.10013796875,Same Day,Card,2,No
ORD00260,2025-01-17,2025,1,Jan,2025-01-22,5,CUST3872,Amira Bhandari,Female,37,Senior,Patna,Bihar,East,Clothing,Jeans,3,1800,25,4050,Low,1819.95,0.44937037037037,Same Day,Card,5,No
ORD00271,2026-01-28,2026,1,Jan,2026-02-03,6,CUST8779,Hansh Tata,Male,48,Senior,Pune,Maharashtra,West,Electronics,Smart TV,1,40000,20,32000,High,8002.34,0.250073125,Same Day,Cash,5,No
ORD00297,2026-01-03,2026,1,Jan,2026-01-10,7,CUST9761,Jayant Mann,Male,56,Senior,Hyderabad,Telangana,South,Electronics,Laptop,1,55000,25,41250,High,16890.78,0.409473454545455,Same Day,UPI,4,No
ORD00300,2025-01-18,2025,1,Jan,2025-01-25,7,CUST9571,Amira Chaudhary,Male,40,Senior,Patna,Bihar,East,Groceries,Tea Powder,3,450,0,1350,Low,348.5,0.258148148148148,Express,UPI,2,No
ORD00307,2026-01-19,2026,1,Jan,2026-01-26,7,CUST4669,Anika Sawhney,Female,51,Senior,Lucknow,Uttar Pradesh,North,Sports,Cricket Bat,7,2500,25,13125,High,2568.19,0.195671619047619,Same Day,Cash,4,No
ORD00320,2025-01-03,2025,1,Jan,2025-01-09,6,CUST5105,Zeeshan Kulkarni,Male,21,Senior,Patna,Bihar,East,Clothing,Jeans,1,1800,10,1620,Low,267.45,0.165092592592593,Same Day,Cash,1,No
ORD00324,2025-01-09,2025,1,Jan,2025-01-11,2,CUST1654,Azad Goel,Male,38,Senior,Kolkata,West Bengal,East,Electronics,Tablet,5,18000,15,76500,High,13275.21,0.173532156862745,Same Day,UPI,5,No
ORD00333,2025-01-27,2025,1,Jan,2025-01-31,4,CUST7473,Kiaan Handa,Male,48,Senior,Chennai,Tamil Nadu,South,Sports,Football,3,1200,25,2700,Low,845.51,0.313151851851852,Same Day,Card,5,No
ORD00346,2026-01-30,2026,1,Jan,2026-02-03,4,CUST8898,Tarini Cherian,Male,50,Senior,Chennai,Tamil Nadu,South,Groceries,Cooking Oil,4,1500,0,6000,Low,1619.46,0.26991,Standard,Card,3,No
ORD00354,2026-01-25,2026,1,Jan,2026-01-31,6,CUST1116,Yuvaan Sagar,Male,51,Senior,Hyderabad,Telangana,South,Groceries,Cooking Oil,6,1500,15,7650,Low,2472.52,0.32320522875817,Same Day,UPI,2,No
ORD00370,2025-01-14,2025,1,Jan,2025-01-20,6,CUST4452,Kabir Mall,Female,55,Senior,Bengaluru,Karnataka,South,Clothing,Jacket,5,3500,5,16625,High,4289.3,0.258003007518797,Same Day,UPI,2,No
ORD00406,2025-01-30,2025,1,Jan,2025-02-06,7,CUST6159,Rhea Devan,Male,62,Senior,Pune,Maharashtra,West,Sports,Dumbbells,3,4000,0,12000,High,5241.51,0.4367925,Express,UPI,3,No
ORD00415,2025-01-19,2025,1,Jan,2025-01-20,1,CUST6624,Vihaan Arora,Male,37,Senior,Jaipur,Rajasthan,North,Groceries,Rice Bag,6,1200,5,6840,Low,1306.41,0.190995614035088,Same Day,UPI,2,No
ORD00432,2025-01-05,2025,1,Jan,2025-01-08,3,CUST3686,Kiara Khanna,Male,23,Senior,Bengaluru,Karnataka,South,Groceries,Tea Powder,2,450,20,720,Low,145.77,0.202458333333333,Standard,UPI,5,No
ORD00436,2025-01-02,2025,1,Jan,2025-01-05,3,CUST4401,Romil Wagle,Male,29,Senior,Chennai,Tamil Nadu,South,Electronics,Headphones,1,2000,5,1900,Low,287.2,0.151157894736842,Express,UPI,5,No
ORD00447,2025-01-31,2025,1,Jan,2025-02-01,1,CUST7131,Neelofar Joshi,Male,30,Senior,Bengaluru,Karnataka,South,Groceries,Milk Pack,1,60,15,51,Low,6.8,0.133333333333333,Express,Cash,2,No
ORD00452,2026-01-01,2026,1,Jan,2026-01-04,3,CUST6549,Piya Badal,Female,21,Senior,Chennai,Tamil Nadu,South,Electronics,Smart TV,1,40000,0,40000,High,12629.61,0.31574025,Standard,Cash,1,No
ORD00457,2025-01-22,2025,1,Jan,2025-01-24,2,CUST9977,Raunak Kala,Male,48,Senior,Delhi,Delhi,North,Electronics,Headphones,4,2000,25,6000,Low,1458.96,0.24316,Express,Cash,4,No
ORD00458,2026-01-12,2026,1,Jan,2026-01-18,6,CUST4869,Shlok Vasa,Male,60,Senior,Bhubaneswar,Odisha,East,Electronics,Tablet,8,18000,0,144000,High,34954.98,0.242742916666667,Standard,UPI,4,No
ORD00465,2025-01-11,2025,1,Jan,2025-01-15,4,CUST3224,Umang Swamy,Male,26,Senior,Bhubaneswar,Odisha,East,Groceries,Snacks Pack,7,300,20,1680,Low,650.28,0.387071428571429,Express,UPI,5,No
ORD00481,2025-01-21,2025,1,Jan,2025-01-24,3,CUST5336,Indrajit Ramaswamy,Male,46,Senior,Bengaluru,Karnataka,South,Groceries,Cooking Oil,7,1500,5,9975,Low,2235.21,0.224081203007519,Express,Card,1,No
ORD00489,2026-01-22,2026,1,Jan,2026-01-28,6,CUST4817,Khushi Vig,Male,20,Teen,Patna,Bihar,East,Furniture,Bookshelf,1,5000,15,4250,Low,563.07,0.132487058823529,Same Day,Cash,5,Yes
ORD00511,2026-01-01,2026,1,Jan,2026-01-02,1,CUST7108,Ritvik Wable,Female,46,Senior,Jaipur,Rajasthan,North,Sports,Dumbbells,2,4000,15,6800,Low,1370.62,0.201561764705882,Express,Cash,5,No
ORD00525,2026-01-25,2026,1,Jan,2026-02-01,7,CUST2410,Aaryahi Din,Male,31,Senior,Pune,Maharashtra,West,Groceries,Milk Pack,6,60,0,360,Low,44.42,0.123388888888889,Standard,Card,5,No
ORD00559,2026-01-07,2026,1,Jan,2026-01-09,2,CUST8656,Neysa Dhingra,Female,58,Senior,Lucknow,Uttar Pradesh,North,Sports,Tennis Racket,1,3200,20,2560,Low,972.22,0.3797734375,Standard,Cash,4,No
ORD00582,2025-01-27,2025,1,Jan,2025-01-30,3,CUST9049,Darshit Dass,Male,53,Senior,Bhubaneswar,Odisha,East,Groceries,Rice Bag,4,1200,5,4560,Low,1964.91,0.430901315789474,Express,Card,2,Yes
ORD00614,2026-01-29,2026,1,Jan,2026-02-01,3,CUST6638,Arnav Dugal,Male,35,Senior,Lucknow,Uttar Pradesh,North,Sports,Football,7,1200,15,7140,Low,1603.95,0.224642857142857,Same Day,Cash,5,No
ORD00640,2026-01-30,2026,1,Jan,2026-02-03,4,CUST7435,Romil Taneja,Male,59,Senior,Bhubaneswar,Odisha,East,Electronics,Tablet,1,18000,25,13500,High,3971.54,0.294188148148148,Express,Cash,1,No
ORD00641,2026-01-26,2026,1,Jan,2026-01-29,3,CUST7336,Devansh Sinha,Male,62,Senior,Hyderabad,Telangana,South,Electronics,Smart TV,6,40000,5,228000,High,67122.7,0.294397807017544,Express,Cash,2,No
ORD00647,2026-01-16,2026,1,Jan,2026-01-19,3,CUST7882,Raghav Loke,Female,38,Senior,Hyderabad,Telangana,South,Groceries,Cooking Oil,6,1500,0,9000,Low,1277.69,0.141965555555556,Standard,Cash,1,No
ORD00665,2026-01-01,2026,1,Jan,2026-01-02,1,CUST8711,Rasha Tata,Male,28,Senior,Lucknow,Uttar Pradesh,North,Groceries,Milk Pack,6,60,15,306,Low,82.13,0.268398692810458,Express,Cash,2,No
ORD00669,2025-01-22,2025,1,Jan,2025-01-26,4,CUST1404,Hansh Talwar,Male,46,Senior,Mumbai,Maharashtra,West,Clothing,T-Shirt,6,800,0,4800,Low,1665.21,0.34691875,Same Day,Card,5,No
ORD00672,2026-01-03,2026,1,Jan,2026-01-10,7,CUST1194,Hansh Verma,Female,59,Senior,Lucknow,Uttar Pradesh,North,Furniture,Bookshelf,4,5000,5,19000,High,3739.82,0.196832631578947,Same Day,Cash,2,No
ORD00700,2025-01-02,2025,1,Jan,2025-01-04,2,CUST2503,Anika Cherian,Male,55,Senior,Lucknow,Uttar Pradesh,North,Furniture,Dining Table,2,15000,15,25500,High,5004.47,0.196253725490196,Standard,Card,3,No
ORD00701,2025-01-24,2025,1,Jan,2025-01-28,4,CUST3890,Sana Dhaliwal,Male,37,Senior,Pune,Maharashtra,West,Sports,Tennis Racket,4,3200,10,11520,High,1706.7,0.148151041666667,Express,UPI,4,Yes
ORD00707,2025-01-06,2025,1,Jan,2025-01-08,2,CUST4970,Shayak Seshadri,Female,20,Teen,Ahmedabad,Gujarat,West,Electronics,Smartphone,5,25000,20,100000,High,29058.52,0.2905852,Same Day,Cash,2,No
ORD00714,2026-01-17,2026,1,Jan,2026-01-19,2,CUST9557,Kabir Deol,Male,42,Senior,Kolkata,West Bengal,East,Sports,Yoga Mat,8,900,15,6120,Low,1132.7,0.185081699346405,Express,Cash,5,No
ORD00722,2025-01-16,2025,1,Jan,2025-01-22,6,CUST7252,Ryan Edwin,Female,32,Senior,Mumbai,Maharashtra,West,Clothing,T-Shirt,5,800,0,4000,Low,1644.06,0.411015,Standard,Cash,3,No
ORD00731,2025-01-11,2025,1,Jan,2025-01-12,1,CUST6825,Umang Wali,Female,29,Senior,Hyderabad,Telangana,South,Electronics,Tablet,6,18000,20,86400,High,25761.24,0.2981625,Express,Card,2,No
ORD00784,2025-01-20,2025,1,Jan,2025-01-25,5,CUST3475,Alia Basu,Male,45,Senior,Lucknow,Uttar Pradesh,North,Clothing,Kurta,3,1200,25,2700,Low,813.14,0.301162962962963,Express,UPI,3,No
ORD00789,2025-01-11,2025,1,Jan,2025-01-13,2,CUST2429,Heer Toor,Male,41,Senior,Hyderabad,Telangana,South,Furniture,Office Chair,6,7000,20,33600,High,9546.63,0.284125892857143,Standard,UPI,2,No
ORD00792,2026-01-21,2026,1,Jan,2026-01-22,1,CUST3406,Hansh Savant,Female,27,Senior,Bengaluru,Karnataka,South,Furniture,Office Chair,1,7000,20,5600,Low,891.11,0.159126785714286,Standard,UPI,4,No
ORD00806,2025-01-22,2025,1,Jan,2025-01-25,3,CUST7122,Fateh Gandhi,Male,61,Senior,Delhi,Delhi,North,Sports,Tennis Racket,5,3200,25,12000,High,5220.76,0.435063333333333,Standard,Cash,1,No
ORD00822,2025-01-01,2025,1,Jan,2025-01-08,7,CUST7134,Nakul Batra,Female,39,Senior,Chennai,Tamil Nadu,South,Sports,Tennis Racket,4,3200,20,10240,High,1119.01,0.1092783203125,Express,Card,2,No
ORD00833,2025-01-24,2025,1,Jan,2025-01-28,4,CUST2685,Dharmajan Chaudhari,Female,28,Senior,Mumbai,Maharashtra,West,Groceries,Snacks Pack,8,300,15,2040,Low,492.22,0.24128431372549,Same Day,Card,3,No
ORD00837,2026-01-25,2026,1,Jan,2026-01-30,5,CUST2085,Abram Goda,Female,36,Senior,Kolkata,West Bengal,East,Furniture,Bed Frame,4,25000,0,100000,High,25366.45,0.2536645,Same Day,Card,5,No
ORD00845,2025-01-01,2025,1,Jan,2025-01-05,4,CUST3004,Inaaya  Ratti,Male,54,Senior,Jaipur,Rajasthan,North,Groceries,Tea Powder,6,450,25,2025,Low,569.13,0.281051851851852,Express,Cash,1,No
ORD00870,2026-01-19,2026,1,Jan,2026-01-21,2,CUST7601,Onkar Suri,Male,47,Senior,Lucknow,Uttar Pradesh,North,Groceries,Rice Bag,2,1200,0,2400,Low,853.05,0.3554375,Standard,UPI,1,No
ORD00877,2025-01-26,2025,1,Jan,2025-02-01,6,CUST8282,Dishani Khosla,Male,40,Senior,Chennai,Tamil Nadu,South,Groceries,Snacks Pack,5,300,0,1500,Low,159.58,0.106386666666667,Same Day,Card,3,No
ORD00880,2025-01-30,2025,1,Jan,2025-02-04,5,CUST5247,Ivan Atwal,Male,62,Senior,Ahmedabad,Gujarat,West,Sports,Dumbbells,6,4000,20,19200,High,4490.57,0.233883854166667,Standard,Cash,4,Yes
ORD00887,2026-01-20,2026,1,Jan,2026-01-21,1,CUST9856,Shray Sarna,Female,19,Teen,Mumbai,Maharashtra,West,Clothing,Jacket,7,3500,25,18375,High,5966.97,0.32473306122449,Standard,Cash,2,No
ORD00916,2026-01-24,2026,1,Jan,2026-01-26,2,CUST9096,Jayan Gandhi,Male,29,Senior,Jaipur,Rajasthan,North,Electronics,Smartphone,2,25000,15,42500,High,15207.28,0.357818352941177,Express,Cash,5,No
ORD00921,2026-01-20,2026,1,Jan,2026-01-25,5,CUST9326,Riaan Borah,Female,36,Senior,Ahmedabad,Gujarat,West,Groceries,Tea Powder,3,450,5,1282.5,Low,558.3,0.435321637426901,Express,Cash,2,No
ORD00924,2026-01-12,2026,1,Jan,2026-01-17,5,CUST4197,Trisha Bansal,Male,49,Senior,Hyderabad,Telangana,South,Clothing,Jeans,5,1800,20,7200,Low,2165.21,0.300723611111111,Express,UPI,4,No
ORD00925,2025-01-01,2025,1,Jan,2025-01-02,1,CUST2965,Tejas Chawla,Female,45,Senior,Jaipur,Rajasthan,North,Clothing,T-Shirt,3,800,10,2160,Low,418.88,0.193925925925926,Standard,Cash,1,No
ORD00930,2026-01-22,2026,1,Jan,2026-01-28,6,CUST4845,Aaina Thakur,Female,48,Senior,Lucknow,Uttar Pradesh,North,Furniture,Sofa,4,30000,10,108000,High,23350.51,0.216208425925926,Express,Cash,4,No
ORD00962,2026-01-26,2026,1,Jan,2026-02-02,7,CUST4181,Manjari Halder,Male,39,Senior,Bhubaneswar,Odisha,East,Clothing,Jeans,6,1800,20,8640,Low,3845.15,0.445040509259259,Same Day,Cash,4,No
ORD00963,2025-01-02,2025,1,Jan,2025-01-03,1,CUST2064,Kaira Doshi,Male,50,Senior,Chennai,Tamil Nadu,South,Clothing,T-Shirt,3,800,15,2040,Low,886.22,0.434421568627451,Same Day,UPI,5,No
ORD00991,2025-01-26,2025,1,Jan,2025-01-31,5,CUST7531,Sahil Wagle,Male,61,Senior,Pune,Maharashtra,West,Clothing,T-Shirt,7,800,5,5320,Low,2359.15,0.443449248120301,Express,UPI,4,No
ORD01008,2025-01-18,2025,1,Jan,2025-01-23,5,CUST5510,Urvi Banik,Male,26,Senior,Chennai,Tamil Nadu,South,Sports,Yoga Mat,1,900,5,855,Low,121.36,0.141941520467836,Express,UPI,5,No
ORD01010,2026-01-22,2026,1,Jan,2026-01-25,3,CUST4734,Tejas Lata,Male,31,Senior,Kolkata,West Bengal,East,Clothing,Jeans,1,1800,10,1620,Low,522.52,0.322543209876543,Same Day,UPI,5,No
ORD01021,2025-01-24,2025,1,Jan,2025-01-28,4,CUST9122,Alia Sood,Male,29,Senior,Bengaluru,Karnataka,South,Groceries,Tea Powder,2,450,15,765,Low,252.56,0.330143790849673,Standard,Card,5,No
ORD01047,2026-01-11,2026,1,Jan,2026-01-13,2,CUST3591,Misha Issac,Male,18,Teen,Ahmedabad,Gujarat,West,Furniture,Office Chair,7,7000,0,49000,High,20122.16,0.410656326530612,Express,Cash,4,No
ORD01060,2026-01-13,2026,1,Jan,2026-01-15,2,CUST8879,Shalv Hayre,Male,33,Senior,Delhi,Delhi,North,Furniture,Bookshelf,7,5000,20,28000,High,10704.96,0.38232,Express,Card,3,Yes
ORD01062,2025-01-04,2025,1,Jan,2025-01-09,5,CUST8718,Chirag Lala,Male,60,Senior,Jaipur,Rajasthan,North,Clothing,T-Shirt,8,800,5,6080,Low,2586.18,0.425358552631579,Standard,UPI,3,No
ORD01068,2026-01-23,2026,1,Jan,2026-01-28,5,CUST9564,Heer Kadakia,Male,43,Senior,Bhubaneswar,Odisha,East,Groceries,Rice Bag,4,1200,20,3840,Low,1485.09,0.3867421875,Express,Card,3,Yes
ORD01082,2026-01-19,2026,1,Jan,2026-01-23,4,CUST6076,Yashvi Vig,Female,39,Senior,Mumbai,Maharashtra,West,Sports,Dumbbells,7,4000,5,26600,High,4835.74,0.181794736842105,Standard,Cash,5,No
ORD01086,2025-01-14,2025,1,Jan,2025-01-15,1,CUST4023,Devansh Mammen,Female,43,Senior,Mumbai,Maharashtra,West,Furniture,Sofa,2,30000,10,54000,High,15762.35,0.29189537037037,Standard,Cash,1,No
ORD01100,2025-01-11,2025,1,Jan,2025-01-18,7,CUST4104,Sana Khurana,Female,34,Senior,Kolkata,West Bengal,East,Electronics,Smart TV,1,40000,25,30000,High,5445.17,0.181505666666667,Standard,Card,2,No
ORD01103,2026-01-15,2026,1,Jan,2026-01-17,2,CUST3082,Neysa Deo,Male,48,Senior,Jaipur,Rajasthan,North,Electronics,Laptop,4,55000,0,220000,High,34851.71,0.158416863636364,Same Day,Card,2,Yes
ORD01104,2025-01-22,2025,1,Jan,2025-01-24,2,CUST8142,Hunar Lanka,Female,46,Senior,Patna,Bihar,East,Furniture,Bookshelf,1,5000,25,3750,Low,462.13,0.123234666666667,Same Day,UPI,2,No
ORD01128,2026-01-15,2026,1,Jan,2026-01-19,4,CUST2389,Rasha Sarma,Female,50,Senior,Bengaluru,Karnataka,South,Electronics,Smartphone,2,25000,5,47500,High,20137.86,0.423954947368421,Same Day,Card,3,Yes
ORD01135,2026-01-18,2026,1,Jan,2026-01-19,1,CUST2028,Seher Ram,Female,40,Senior,Patna,Bihar,East,Electronics,Tablet,7,18000,0,126000,High,26975.06,0.214087777777778,Same Day,Cash,4,Yes
ORD01144,2026-01-05,2026,1,Jan,2026-01-07,2,CUST4431,Tarini Soni,Female,62,Senior,Mumbai,Maharashtra,West,Clothing,Sneakers,5,4500,20,18000,High,5953.23,0.330735,Standard,UPI,3,No
ORD01145,2025-01-09,2025,1,Jan,2025-01-16,7,CUST4750,Vanya Walia,Male,33,Senior,Jaipur,Rajasthan,North,Sports,Tennis Racket,1,3200,10,2880,Low,780.95,0.271163194444445,Standard,Cash,1,No
ORD01149,2026-01-08,2026,1,Jan,2026-01-10,2,CUST7160,Dishani Kapadia,Female,62,Senior,Hyderabad,Telangana,South,Clothing,Jacket,4,3500,5,13300,High,4606.64,0.346363909774436,Express,Card,1,No
ORD01160,2026-01-02,2026,1,Jan,2026-01-06,4,CUST1472,Rohan Ramachandran,Female,56,Senior,Bhubaneswar,Odisha,East,Sports,Tennis Racket,4,3200,5,12160,High,4992.38,0.410557565789474,Same Day,Card,4,No
ORD01166,2025-01-18,2025,1,Jan,2025-01-24,6,CUST1497,Madhav Viswanathan,Female,29,Senior,Hyderabad,Telangana,South,Electronics,Laptop,4,55000,15,187000,High,27222.13,0.145572887700535,Express,UPI,5,No
ORD01172,2025-01-09,2025,1,Jan,2025-01-12,3,CUST8644,Divyansh Banerjee,Female,52,Senior,Bhubaneswar,Odisha,East,Furniture,Office Chair,6,7000,20,33600,High,4320.81,0.128595535714286,Same Day,Cash,2,No
ORD01193,2026-01-31,2026,1,Jan,2026-02-07,7,CUST5300,Darshit Dhingra,Female,21,Senior,Delhi,Delhi,North,Electronics,Headphones,7,2000,0,14000,High,5356.23,0.382587857142857,Same Day,Card,3,No
ORD01201,2026-01-27,2026,1,Jan,2026-01-30,3,CUST5024,Saksham Shankar,Female,48,Senior,Patna,Bihar,East,Clothing,Kurta,8,1200,20,7680,Low,2538.32,0.330510416666667,Express,Card,3,No
ORD01202,2026-01-19,2026,1,Jan,2026-01-23,4,CUST7440,Arnav Kohli,Male,22,Senior,Mumbai,Maharashtra,West,Clothing,Sneakers,8,4500,20,28800,High,7077.48,0.245745833333333,Express,Card,3,No
ORD01222,2026-01-21,2026,1,Jan,2026-01-27,6,CUST7638,Hazel Khosla,Female,51,Senior,Delhi,Delhi,North,Furniture,Bed Frame,8,25000,5,190000,High,31978.22,0.168306421052632,Express,UPI,2,Yes
ORD01257,2026-01-31,2026,1,Jan,2026-02-02,2,CUST6921,Akarsh Bumb,Male,36,Senior,Pune,Maharashtra,West,Sports,Dumbbells,2,4000,0,8000,Low,848.12,0.106015,Standard,Card,1,No
ORD01263,2025-01-04,2025,1,Jan,2025-01-07,3,CUST6549,Aradhya Khalsa,Female,65,Senior,Hyderabad,Telangana,South,Clothing,Sneakers,2,4500,5,8550,Low,1324.76,0.15494269005848,Standard,Cash,5,No
ORD01323,2026-01-24,2026,1,Jan,2026-01-31,7,CUST1432,Ojas Handa,Male,44,Senior,Mumbai,Maharashtra,West,Furniture,Dining Table,4,15000,20,48000,High,11487,0.2393125,Express,UPI,2,Yes
ORD01337,2026-01-22,2026,1,Jan,2026-01-28,6,CUST6927,Indrans Rajan,Male,51,Senior,Chennai,Tamil Nadu,South,Sports,Cricket Bat,5,2500,0,12500,High,1699.53,0.1359624,Standard,Card,4,No
ORD01340,2025-01-24,2025,1,Jan,2025-01-31,7,CUST4117,Anika Jhaveri,Female,54,Senior,Ahmedabad,Gujarat,West,Electronics,Headphones,4,2000,10,7200,Low,2235.35,0.310465277777778,Express,Cash,2,No
ORD01341,2026-01-26,2026,1,Jan,2026-01-29,3,CUST1664,Misha Yadav,Male,28,Senior,Jaipur,Rajasthan,North,Furniture,Office Chair,1,7000,25,5250,Low,796.57,0.151727619047619,Express,Card,4,No
ORD01346,2026-01-24,2026,1,Jan,2026-01-31,7,CUST2508,Prerak Mahal,Female,64,Senior,Bhubaneswar,Odisha,East,Groceries,Snacks Pack,1,300,5,285,Low,71.85,0.252105263157895,Express,Card,5,Yes
ORD01349,2025-01-06,2025,1,Jan,2025-01-08,2,CUST1007,Anvi Sheth,Female,25,Senior,Mumbai,Maharashtra,West,Groceries,Cooking Oil,6,1500,5,8550,Low,2447.82,0.286294736842105,Express,UPI,5,No
ORD01353,2026-01-18,2026,1,Jan,2026-01-19,1,CUST3645,Veer Master,Male,49,Senior,Kolkata,West Bengal,East,Sports,Football,2,1200,25,1800,Low,688.17,0.382316666666667,Express,Card,5,No
ORD01358,2026-01-21,2026,1,Jan,2026-01-24,3,CUST3608,Dhanuk Tiwari,Male,43,Senior,Bhubaneswar,Odisha,East,Clothing,T-Shirt,6,800,20,3840,Low,398.95,0.103893229166667,Express,Cash,1,No
